"","n"
"Ahmed_Abdul_Malik",2
"Benny_Golson",0
"Joe_Henderson",1
"Arturo_Sandoval",6
"Joe_Morris_(trumpeter)",2
"Kenny_Garrett",6
"Frank_Lloyd_(horn_player)",0
"Esperanza_Spalding",3
"Art_Blakey",6
"Sting_(musician)",6
"Karriem_Riggins",1
"Charlie_Barnet",4
"Wayne_Shorter",8
"Shannon_Powell",6
"Mulgrew_Miller",5
"Frank_McComb",4
"Clifford_Brown",2
"Veronica_Swift",3
"Buster_Williams",8
"Elvin_Jones",7
"Maynard_Ferguson",1
"Lionel_Hampton",9
"Count_Basie",7
"Lenny_Kravitz",5
"Victor_Goines",5
"Eric_Clapton",7
"Dianne_Reeves",6
"Terri_Lyne_Carrington",5
"Alexa_Tarantino",0
"Charlie_Haden",7
"Larry_Willis",6
"Gary_Numan",6
"Lee_Morgan",3
"Kevin_Eubanks",5
"Horace_Silver",7
"The_Clayton_Brothers",6
"Gary_Moore",6
"Buddy_Guy",8
"Jackson_Browne",7
"Willie_Nelson",8
"Ray_Charles",7
"Randy_Sandke",7
"Ray_Mantilla",8
"Rodney_Whitaker",0
"Jack_DeJohnette",7
"Duke_Ellington",7
"Winard_Harper",5
"Charles_Mingus",4
"Kenny_Kirkland",3
"Terence_Blanchard",5
"Paul_Bley",0
"Jann_Arden",4
"Richard_Johnson_(pianist)",4
"Flora_Purim",7
"James_Morrison_(jazz_musician)",5
"Keb'_Mo'",6
"Mousey_Alexander",5
"Benny_Green_(pianist)",0
"Natalie_Cressman",2
"Al_Foster",7
"Tony_Williams_(drummer)",4
"Reggie_Workman",0
"Betty_Carter",6
"Saskia_Laroo",0
"Eric_Revis",4
"Oliver_Jones_(pianist)",9
"Dee_Dee_Bridgewater",7
"Robert_M._Rucker",4
"Nine_Inch_Nails",5
"Germaine_Bazzle",0
"Bo_Stief",0
"Doug_Watkins",2
"Jeff_Beck",7
"Jackie_McLean",6
"Bob_Cranshaw",0
"Woody_Herman",0
"Donald_Byrd",7
"Harry_Sokal_(musician)",6
"McCoy_Tyner",7
"Candy_Dulfer",5
"Andreas_Varady",2
"Freddie_Hubbard",6
"Randy_Gelispie",0
"Peter_Bernstein_(guitarist)",4
"Quincy_Jones",8
"Dwayne_Dolphin",0
"Igor_Butman",6
"Don_Friedman",0
"Joshua_Redman",0
"Roy_Hargrove",4
"Paul_Young",6
"Richard_Davis_(bassist)",9
"Orrin_Keepnews",7
"Dizzy_Gillespie",7
"Eddie_Harris",0
"Kenny_Dorham",0
"Oscar_Peterson",7
"B.B._King",8
"Ben_Wolfe",6
"Chick_Corea",7
"Don_Pullen",4
"Bonnie_Raitt",6
"Bobby_Watson",6
"Ed_Cherney",0
"Solomon_Ilori",8
"Darren_Barrett",4
"Hank_Mobley",5
"Percy_Heath",0
"Lewis_Nash",5
"Oliver_Nelson",0
"Richard_Ashcroft",4
"Blue_Mitchell",3
"Joey_Calderazzo",6
"Dayna_Stephens",3
"Grover_Washington_Jr.",4
"Willie_Jones_III",4
"Anton_Kwiatkowski",7
"Wycliffe_Gordon",0
"John_Mayer_Trio",3
"Vincent_Herring",5
"Camille_Thurman",3
"Roman_Miroshnichenko",4
"Aaron_Goldberg",4
"John_Mayer",4
"Vanessa_Rubin",5
"Nat_Adderley",0
"Dr._John",7
"Paul_Chambers",2
"Stevie_Wonder",7
"Billy_Taylor",8
"Tommy_Campbell_(musician)",0
"Clark_Terry",8
"Wessell_Anderson",5
"George_Mraz",0
"Rickey_Minor",5
"Andrew_Hill_(jazz_musician)",6
"Robert_Stewart_(saxophonist)",5
"Art_Pepper",5
"Carla_Bley",7
"Donald_Brown_(musician)",6
"Reuben_Rogers",4
"Yusef_Lateef",7
"Eric_Lewis_(pianist)",4
"Wallace_Roney",6
"Herbie_Hancock",7
"John_Scofield",6
"Johnny_Griffin",7
"Branford_Marsalis",5
"Bobby_Timmons",3
"Don_Henley",6
"Magos_Herrera",4
"Billy_Higgins",0
"Bob_Dylan",7
"Sean_Jones_(trumpeter)",3
"Bee_Gees",2
"Jason_Marsalis",0
"Bill_Graham_(musician)",3
"Raphael_Saadiq",5
"Justin_Kauflin",3
"J._J._Johnson",6
"Keith_Jarrett",6
"Bill_Dowdy",4
"Philip_Harper_(trumpeter)",4
"Ron_Carter",7
"Ben_Wendel",0
"Curtis_Fuller",8
"Bob_Brookmeyer",0
"Erica_von_Kleist",0
"Johnny_Helms",6
"Hugh_Masekela",7
"Paul_Murphy_(musician)",0
"Marcus_Strickland",4
"Stanley_Turrentine",6
"Radovan_Tariska",0
"Booker_Little",2
"Mary_J._Blige",5
"Thelonious_Monk",4
"Wynton_Marsalis",5
"Roger_Ingram",6
"John_Gilmore_(musician)",5
"Hans_Dulfer",8
"Iggy_Pop",7
"Charles_Williams_(musician)",3
"Javon_Jackson",0
"Zach_Brock",0
"Marcus_Roberts",5
"Miles_Davis",4
"Milt_Hinton",8
"Pino_Palladino",6
"Kurt_Rosenwinkel",4
"Ambrose_Akinmusire",3
"Darcy_James_Argue",3
"Arturo_O'Farrill",6
"Ximo_Tebar",0
"Maurice_Hines",8
"Cedar_Walton",0
"The_Rolling_Stones",7
"Jean_Toussaint",5
"Robert_Hurst_(musician)",5
"Pharoah_Sanders",7
"Woody_Shaw",3
"Ali_Jackson_(jazz_drummer)",0
"Lalo_Schifrin",8
"Joe_Temperley",7
"Mark_Turner_(musician)",4
"Sherrie_Maricle",0
"Sullivan_Fortner",3
"Yacub_Addy",1
"Charles_Lloyd_(jazz_musician)",8
"Chalmers_Alford",5
"Thomas_Clausen_(musician)",0
"The_Soultronics",1
"Toots_Thielemans",8
"Fred_Wesley",7
"SFJAZZ_Collective",3
"Herlin_Riley",5
"Gerald_Clayton",0
"Jacky_Terrasson",4
"Cameron_Brown_(musician)",0
"Roger_Humphries",0
"Harry_Connick_Jr.",6
"Milt_Jackson",0
"Ellis_Marsalis_Jr.",9
"Damion_Reid",0
"Ali_Shaheed_Muhammad",5
"Grant_Green",3
"D'Angelo",4
"Bud_Powell",3
"Joss_Stone",3
